,last_scraped,name,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,neighbourhood,property_type,room_type,amenities,has_availability,first_review,last_review,license,instant_bookable,id,scrape_id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
4,2024-09-05,Old bar apartment,Thomas,2015-09-02,within a few hours,100%,86%,f,t,"Amsterdam, Noord-Holland, Netherlands",Room in boutique hotel,Private room,"[""Smoke alarm"", ""Hangers"", ""Essentials"", ""Iron"", ""Heating"", ""Hair dryer"", ""Shampoo"", ""Wifi"", ""Fire extinguisher"", ""TV with standard cable""]",t,2016-02-17,2024-08-20,Exempt,f,8191077,20240905174946,43205475.0,1.0,1.0,52.36047,4.90124,6.0,1.0,1.0,1.0,289.6,1.0,135.4,1.0,1125.0,65.0,6.0,48,191,13.4,4.61,4.65,4.56,4.86,4.79,4.83,4.45,1.0,1.0,0.0,0.0
10,2024-09-06,Triple Room With City View,Melrose Hotel,2019-11-22,within an hour,100%,100%,f,t,undefined,Room in hotel,Private room,"[""Paid parking on premises"", ""Body soap"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Pocket wifi"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Safe"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Elevator"", ""EV charger"", ""Wifi"", ""Cleaning available during stay"", ""Air conditioning"", ""Hangers"", ""Essentials"", ""Heating"", ""TV"", ""First aid kit"", ""Shampoo"", ""Fire extinguisher"", ""High chair"", ""Bed linens""]",t,2022-12-01,2023-12-01,Exempt,t,888038298563003925,20240905174946,311321908.0,1.0,1.4,52.37011,4.87909,3.0,1.0,1.0,3.0,269.0,1.0,365.0,1.1,1000.0,65.0,2.6,58,323,8.0,4.75,5.0,4.88,4.75,5.0,4.88,4.75,1.0,1.0,0.0,0.0
12,2024-09-05,Room nearby Leidseplein in a canalhouse,Saira,2014-09-10,undefined time,0%,0%,f,t,undefined,Private room in townhouse,Private room,"[""Smoke alarm"", ""Breakfast"", ""Essentials"", ""Host greets you"", ""Heating"", ""First aid kit"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Shampoo"", ""Wifi"", ""Hot water""]",f,2016-03-22,2018-08-12,0363991aace2d3e713cc,f,7721564,20240905174946,21185669.0,1.0,1.0,52.36611,4.87783,2.0,1.0,1.0,1.0,289.6,2.0,4.0,2.0,4.0,65.0,0.0,0,0,15.0,4.87,4.87,4.87,5.0,4.87,5.0,4.73,1.0,1.0,0.0,0.0
22,2024-09-06,Cosy and light bedroom in Amsterdam West,Ambra & Tarik,2014-12-16,within an hour,100%,96%,t,t,undefined,Private room in rental unit,Private room,"[""Dishes and silverware"", ""Shower gel"", ""Garden view"", ""Free washer \u2013 In unit"", ""Coffee"", ""Body soap"", ""Central heating"", ""Portable fans"", ""Coffee maker"", ""Outdoor furniture"", ""Cooking basics"", ""First aid kit"", ""Google Chromecast  Bluetooth sound system"", ""Hot water"", ""AEG stainless steel gas stove"", ""Smoke alarm"", ""Lockbox"", ""Iron"", ""Drying rack for clothing"", ""Cleaning products"", ""Shared patio or balcony"", ""Blender"", ""Microwave"", ""Refrigerator"", ""Wine glasses"", ""Lock on bedroom door"", ""Extra pillows and blankets"", ""Host greets you"", ""Paid street parking off premises"", ""Oven"", ""Hair dryer"", ""Self check-in"", ""Conditioner"", ""Clothing storage: dresser"", ""Wifi"", ""Dishwasher"", ""Hot water kettle"", ""Hangers"", ""Dining table"", ""Essentials"", ""Books and reading material"", ""Freezer"", ""Laundromat nearby"", ""Room-darkening shades"", ""Shampoo"", ""Fire extinguisher"", ""Kitchen"", ""Bed linens"", ""Baking sheet""]",t,2021-07-09,2024-08-10,0363 1B2A 1C0D 7D2C 229C,t,42510929,20240905174946,24903540.0,1.0,1.0,52.3815,4.85271,2.0,1.0,1.0,1.0,289.6,2.0,4.0,2.0,1125.0,65.0,0.0,0,0,13.4,4.93,4.98,4.99,4.99,5.0,4.85,4.89,1.0,1.0,0.0,0.0
31,2024-09-05,Private loft next @Vondelpark with PRIVATE parking,Roel,2021-05-10,within an hour,100%,100%,t,t,"Amsterdam, Noord-Holland, Netherlands",Private room in bed and breakfast,Private room,"[""Dishes and silverware"", ""Fast wifi \u2013 98 Mbps"", ""Toaster"", ""Shower gel"", ""Coffee"", ""Kitchenette"", ""Body soap"", ""Private living room"", ""Portable fans"", ""Dedicated workspace"", ""Cooking basics"", ""Carbon monoxide alarm"", ""First aid kit"", ""Hot water"", ""Waterfront"", ""Smoke alarm"", ""Iron"", ""Cleaning products"", ""Clothing storage: closet"", ""Mini fridge"", ""32 inch HDTV with Amazon Prime Video, Netflix"", ""Paid parking garage on premises \u2013 1 space"", ""Refrigerator"", ""Crib"", ""Wine glasses"", ""Bathtub"", ""Extra pillows and blankets"", ""Lock on bedroom door"", ""Coffee maker: Nespresso"", ""Host greets you"", ""Park view"", ""Luggage dropoff allowed"", ""Hair dryer"", ""EV charger"", ""Conditioner"", ""Dishwasher"", ""Hot water kettle"", ""Folding or convertible high chair - always at the listing"", ""Hangers"", ""Dining table"", ""Essentials"", ""Heating"", ""Courtyard view"", ""Long term stays allowed"", ""Freezer"", ""Laundromat nearby"", ""Room-darkening shades"", ""Shampoo"", ""Fire extinguisher"", ""Private entrance"", ""Bed linens""]",t,2021-08-01,2024-08-29,0363 F563 A65B 6D7E 73DB,t,50666229,20240905174946,400851790.0,1.0,2.0,52.35945194684348,4.861792612512684,4.0,1.0,2.0,1.3,254.0,4.0,365.0,4.0,365.0,65.0,1.0,35,275,13.4,4.92,4.87,4.85,4.99,4.98,4.93,4.62,1.0,1.0,0.0,0.0
32,2024-09-05,Ecoluxe accommodation 'The Green Tunnel',Dianne,2013-02-10,within an hour,100%,97%,t,t,"Amsterdam, North Holland, Netherlands",Private room in guesthouse,Private room,"[""Dishes and silverware"", ""Toaster"", ""Shower gel"", ""Garden view"", ""Barbecue utensils"", ""Boat slip"", ""Private backyard \u2013 Fully fenced"", ""Central heating"", ""Free driveway parking on premises \u2013 1 space"", ""Children\u2019s books and toys for ages 0-2 years old, 2-5 years old, 5-10 years old, and 10+ years old"", ""Babysitter recommendations"", ""Dedicated workspace"", ""Kitchen"", ""Coffee maker: Keurig coffee machine, pour-over coffee"", ""Private patio or balcony"", ""Outdoor furniture"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Hot water"", ""Stainless steel oven"", ""Organic soap body soap"", ""Waterfront"", ""Smoke alarm"", ""Iron"", ""Cleaning products"", ""Mini fridge"", ""Microwave"", ""Refrigerator"", ""Canal view"", ""Crib"", ""Wine glasses"", ""Lake access"", ""Extra pillows and blankets"", ""Single level home"", ""Organic shampoo shampoo"", ""Clothing storage: closet and wardrobe"", ""Host greets you"", ""Beach access \u2013 Beachfront"", ""Luggage dropoff allowed"", ""Hair dryer"", ""EV charger"", ""Wifi"", ""Hot water kettle"", ""Hangers"", ""Dining table"", ""Essentials"", ""Children\u2019s dinnerware"", ""Harbor view"", ""Pack \u2019n play/Travel crib"", ""Board games"", ""Long term stays allowed"", ""Outdoor dining area"", ""River view"", ""Room-darkening shades"", ""Fire extinguisher"", ""Private entrance"", ""High chair"", ""Bed linens""]",t,2014-05-06,2024-08-29,0363 3DAD 7A1B DD57 EB0F,f,933523,20240905174946,5033331.0,1.0,2.0,52.356197,4.9,4.0,1.0,2.0,2.0,203.0,3.0,30.0,3.0,30.0,65.0,6.0,10,10,13.4,4.92,4.84,4.93,4.97,4.99,4.91,4.74,1.0,1.0,0.0,0.0
36,2024-09-05,Private Stairway to heaven,Debby,2014-09-27,within an hour,100%,100%,t,t,"Amsterdam, Noord-Holland, Netherlands",Private room in guest suite,Private room,"[""Dishes and silverware"", ""Shower gel"", ""Garden view"", ""Coffee"", ""Body soap"", ""Portable fans"", ""Dedicated workspace"", ""Indoor fireplace: electric"", ""Coffee maker"", ""Paid parking off premises"", ""Carbon monoxide alarm"", ""Hot water"", ""Pocket wifi"", ""Smoke alarm"", ""Lockbox"", ""Iron"", ""Cleaning products"", ""Clothing storage: closet"", ""Hotel fridge...no noise refrigerator"", ""Mini fridge"", ""Wine glasses"", ""Shampoo"", ""Extra pillows and blankets"", ""Hair dryer"", ""Self check-in"", ""Wifi"", ""Hot water kettle"", ""Hangers"", ""Dining table"", ""Essentials"", ""Heating"", ""Courtyard view"", ""Laundromat nearby"", ""First aid kit"", ""HDTV with Netflix"", ""Fire extinguisher"", ""Private entrance"", ""Bed linens""]",t,2018-03-25,2024-08-23,0363 7709 9C5C 6D94 6FBD,f,20259345,20240905174946,21845977.0,1.0,2.0,52.36709,4.86575,2.0,1.0,1.0,1.0,109.0,1.0,10.0,1.7,9.4,65.0,0.0,6,40,13.4,4.91,4.93,4.84,4.92,4.93,4.83,4.77,1.0,1.0,0.0,0.0
44,2024-09-05,Double room next to Vondelpark,Anna,2014-10-07,undefined time,0%,0%,f,t,"Amsterdam, Noord-Holland, Netherlands",Private room in rental unit,Private room,"[""Dishes and silverware"", ""Smoke alarm"", ""Essentials"", ""Iron"", ""Washer"", ""Heating"", ""Coffee maker"", ""Hair dryer"", ""Patio or balcony"", ""Refrigerator"", ""Shampoo"", ""Wifi"", ""Fire extinguisher"", ""Bed linens"", ""Hot water""]",t,2014-11-12,2021-12-12,0363 9D2C 13A5 6987 C117,f,4282186,20240905174946,22231426.0,1.0,3.0,52.35359,4.86115,2.0,1.0,1.0,1.0,289.6,1.0,135.4,1.0,1125.0,65.0,0.0,0,0,13.4,4.84,4.89,4.9,4.95,4.96,4.87,4.79,1.0,1.0,0.0,0.0
46,2024-09-05,Nice room with view on the canal,Palmyra,2014-04-02,within an hour,100%,100%,t,t,"Amsterdam, North Holland, Netherlands",Private room in condo,Private room,"[""Dishes and silverware"", ""Private patio or balcony"", ""Coffee maker"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Hot water"", ""Smoke alarm"", ""Iron"", ""Refrigerator"", ""Canal view"", ""Extra pillows and blankets"", ""Host greets you"", ""Hair dryer"", ""Wifi"", ""Dishwasher"", ""Hangers"", ""Essentials"", ""Heating"", ""First aid kit""]",t,2015-10-17,2024-09-01,0363 F922 B691 C665 E7FB,t,3388764,20240905174946,13818262.0,1.0,1.0,52.34718,4.88952,2.0,1.0,1.0,1.0,289.6,3.0,60.0,3.0,1125.0,65.0,2.0,2,2,13.4,4.95,4.94,4.95,4.98,4.99,4.93,4.79,1.0,1.0,0.0,0.0
59,2024-09-06,Houseboat Havana,Sven,2015-10-30,undefined time,0%,100%,f,f,"Amsterdam, Noord-Holland, Netherlands",Private room in boat,Private room,"[""Dishes and silverware"", ""Private living room"", ""Coffee maker"", ""Patio or balcony"", ""Paid parking off premises"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Hot water"", ""Waterfront"", ""Smoke alarm"", ""Stove"", ""Lockbox"", ""Refrigerator"", ""Lake access"", ""Single level home"", ""Hair dryer"", ""Self check-in"", ""Wifi"", ""Hangers"", ""Essentials"", ""Heating"", ""TV"", ""Long term stays allowed"", ""First aid kit"", ""Shampoo"", ""Fire extinguisher"", ""Private entrance"", ""Kitchen"", ""Bed linens""]",f,2019-04-29,2023-09-11,Exempt,f,33160030,20240905174946,47770842.0,1.0,3.0,52.33433,4.84834,4.0,1.0,2.0,1.0,289.6,2.0,135.4,2.0,1125.0,65.0,0.0,0,0,71.0,4.56,4.9,4.59,4.72,5.0,4.38,4.42,1.0,1.0,0.0,0.0
