,last_scraped,name,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,neighbourhood,property_type,room_type,amenities,has_availability,first_review,last_review,license,instant_bookable,id,scrape_id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
731,2024-09-06,Ecomama - Bed in 8-bed backpacker dorm,Ecomama,2020-10-15,undefined time,0%,0%,f,t,"Amsterdam, Noord-Holland, Netherlands",Shared room in hostel,Shared room,"[""Smoke alarm"", ""Coffee"", ""Essentials"", ""Shared patio or balcony"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Shampoo"", ""Wifi"", ""Fire extinguisher"", ""Kitchen"", ""Dryer"", ""Hot water""]",t,2022-04-20,2022-06-23,Exempt,t,45998980,20240905174946,372015241.0,1.0,1.4,52.36923,4.90604,1.0,1.0,1.0,1.0,289.6,1.0,14.0,1.1,7.0,65.0,0.0,0,0,13.0,4.77,4.69,4.69,4.85,5.0,4.92,4.54,1.0,1.0,0.0,0.0
857,2024-09-06,Luxury large Houseboat AZARA,Suzanne,2018-06-27,within an hour,100%,95%,f,t,"Amsterdam, Noord-Holland, Netherlands",Shared room in houseboat,Shared room,"[""Dishes and silverware"", ""Toaster"", ""Shower gel"", ""Coffee"", ""Body soap"", ""Portable fans"", ""Coffee maker"", ""Patio or balcony"", ""Outdoor furniture"", ""Cooking basics"", ""Paid parking off premises"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Hot water"", ""Smoke alarm"", ""Stove"", ""Iron"", ""Cleaning products"", ""Microwave"", ""Clothing storage"", ""Refrigerator"", ""Canal view"", ""Wine glasses"", ""Bathtub"", ""Single level home"", ""Host greets you"", ""Oven"", ""Hair dryer"", ""Conditioner"", ""Wifi"", ""Dishwasher"", ""Hot water kettle"", ""Hangers"", ""Essentials"", ""City skyline view"", ""Heating"", ""Freezer"", ""First aid kit"", ""Shampoo"", ""Fire extinguisher"", ""Kitchen"", ""Bed linens""]",t,2019-03-07,2024-08-07,0363 5A08 DDE3 0993 63A2,f,32067350,20240905174946,198405490.0,1.0,1.4,52.37878,4.88724,4.0,1.0,2.0,3.0,251.2,3.0,30.0,4.0,30.0,65.0,13.0,41,297,59.0,4.9,4.92,4.76,4.93,4.93,5.0,4.61,1.0,1.0,0.0,0.0
1264,2024-09-06,Bed in 10 POD Dorm Ensuite,St Christophers At The Winston,2019-01-17,undefined time,0%,0%,f,f,undefined,Shared room in hostel,Shared room,"[""Smoke alarm"", ""Essentials"", ""Iron"", ""Backyard"", ""Heating"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Patio or balcony"", ""First aid kit"", ""Wifi"", ""Fire extinguisher"", ""Bed linens"", ""Hot water""]",t,2020-02-02,2020-02-02,Exempt,t,41709087,20240905174946,237150996.0,1.0,1.4,52.37392,4.89635,1.0,1.0,1.0,1.0,289.6,1.0,135.4,1.4,7.0,65.0,0.0,0,0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.7,1.0,1.0,0.0,0.0
1272,2024-09-06,Unique experience sleep on a boat in centre A’dam,Jennie,2020-01-16,undefined time,0%,0%,f,t,"Amsterdam, Noord-Holland, Netherlands",Shared room in boat,Shared room,"[""Waterfront"", ""Smoke alarm"", ""Breakfast"", ""Essentials"", ""Heating"", ""Paid parking off premises"", ""Patio or balcony"", ""First aid kit"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Bed linens""]",t,00/00/00,00/00/00,Exempt,t,41781053,20240905174946,328054998.0,1.0,1.4,52.37558,4.92384,2.9,1.0,1.0,1.0,289.6,2.0,3.0,2.0,3.0,65.0,0.0,0,0,0.0,4.8,4.9,4.8,4.9,4.9,4.8,4.7,1.0,1.0,0.0,0.0
1647,2024-09-05,Generator - Single Pod,Generator,2019-03-27,within an hour,98%,99%,f,t,"Amsterdam, Noord-Holland, Netherlands",Shared room in hostel,Shared room,"[""Air conditioning"", ""Smoke alarm"", ""Heating"", ""Board games"", ""Ping pong table"", ""Luggage dropoff allowed"", ""Paid parking off premises"", ""Exterior security cameras on property"", ""Bikes"", ""Elevator"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Wifi"", ""Fire extinguisher"", ""Bed linens"", ""Hot water""]",t,2023-06-10,2024-08-22,Exempt,t,891918251434745012,20240905174946,251479377.0,1.0,1.4,52.3596865346716,4.919748530774486,1.0,1.0,1.0,1.0,82.0,1.0,365.0,1.0,28.0,65.0,2.6,85,359,35.0,4.63,4.71,4.74,4.71,4.8,4.69,4.43,1.0,1.0,0.0,0.0
1847,2024-09-05,Family house in New-West Amsterdam.,Marie,2012-06-04,undefined time,0%,0%,f,t,"Amsterdam, North Holland, Netherlands",Shared room in home,Shared room,"[""Dishes and silverware"", ""Coffee maker"", ""Cooking basics"", ""Hot water"", ""Smoke alarm"", ""Stove"", ""Microwave"", ""Refrigerator"", ""Resort access"", ""Bathtub"", ""Extra pillows and blankets"", ""Hair dryer"", ""Wifi"", ""Dishwasher"", ""Hangers"", ""Essentials"", ""Free street parking"", ""Heating"", ""Kitchen""]",t,2014-05-19,2019-05-01,0363E200135D97823467,f,1408035,20240905174946,2539835.0,1.0,3.0,52.34255,4.80578,1.0,1.0,1.0,1.0,289.6,3.0,3.0,3.0,3.0,65.0,0.0,0,0,36.0,4.81,4.89,4.97,4.92,4.81,4.44,4.63,1.0,1.0,0.0,0.0
3003,2024-09-06,ClinkNoord - Bed in 10-bed dorm,ClinkNOORD,2019-02-25,undefined time,0%,99%,f,f,"Amsterdam, Noord-Holland, Netherlands",Shared room in hostel,Shared room,"[""Outlet covers"", ""Hangers"", ""Smoke alarm"", ""Smart lock"", ""Heating"", ""Self check-in"", ""Carbon monoxide alarm"", ""Wifi"", ""Kitchen""]",f,2019-05-17,2023-12-13,Exempt,f,32624414,20240905174946,245267147.0,1.0,1.4,52.38322,4.90311,1.0,1.0,1.0,1.0,289.6,1.0,6.0,1.0,14.0,65.0,0.0,0,0,13.4,4.9,4.67,4.8,4.9,5.0,4.83,4.51,1.0,1.0,0.0,0.0
3005,2024-09-06,ClinkNoord - Bed in 8-bed dorm,ClinkNOORD,2019-02-25,undefined time,0%,99%,f,f,"Amsterdam, Noord-Holland, Netherlands",Shared room in hostel,Shared room,"[""Outlet covers"", ""Hangers"", ""Smoke alarm"", ""Smart lock"", ""Heating"", ""Self check-in"", ""Carbon monoxide alarm"", ""Wifi"", ""Kitchen""]",f,2019-05-17,2024-01-08,Exempt,f,32624420,20240905174946,245267147.0,1.0,1.4,52.38524,4.90446,1.0,1.0,1.0,1.0,289.6,1.0,6.0,1.0,6.0,65.0,0.0,0,0,47.0,4.9,4.9,4.8,4.9,5.0,4.66,4.7,1.0,1.0,0.0,0.0
3007,2024-09-06,ClinkNoord - Bed in 14-bed dorm,ClinkNOORD,2019-02-25,undefined time,0%,99%,f,f,"Amsterdam, Noord-Holland, Netherlands",Shared room in hostel,Shared room,"[""Outlet covers"", ""Smoke alarm"", ""Smart lock"", ""Heating"", ""Self check-in"", ""Carbon monoxide alarm"", ""Wifi"", ""Kitchen""]",f,2019-04-24,2024-05-08,Exempt,f,32623608,20240905174946,245267147.0,1.0,1.4,52.385,4.90293,1.0,1.0,1.0,1.0,289.6,1.0,6.0,1.0,6.0,65.0,0.0,0,0,13.4,4.9,4.9,4.8,4.9,5.0,4.73,4.33,1.0,1.0,0.0,0.0
3008,2024-09-06,ClinkNoord - Bed in 6-bed en-suite dorm,ClinkNOORD,2019-02-25,undefined time,0%,99%,f,f,"Amsterdam, Noord-Holland, Netherlands",Shared room in hostel,Shared room,"[""Outlet covers"", ""Hangers"", ""Smoke alarm"", ""Smart lock"", ""Washer"", ""Heating"", ""Self check-in"", ""Carbon monoxide alarm"", ""Wifi"", ""Dryer""]",f,2019-05-20,2024-02-05,Exempt,f,32624418,20240905174946,245267147.0,1.0,1.4,52.38337,4.90474,1.0,1.0,1.0,1.0,289.6,1.0,6.0,1.0,14.0,65.0,0.0,0,0,13.4,4.9,4.62,4.43,4.9,5.0,4.75,4.34,1.0,1.0,0.0,0.0
3009,2024-09-06,ClinkNoord - Bed in 8-bed en-suite dorm,ClinkNOORD,2019-02-25,undefined time,0%,99%,f,f,"Amsterdam, Noord-Holland, Netherlands",Shared room in hostel,Shared room,"[""Outlet covers"", ""Hangers"", ""Smoke alarm"", ""Smart lock"", ""Heating"", ""Self check-in"", ""Carbon monoxide alarm"", ""Wifi"", ""Kitchen""]",f,2019-05-03,2024-01-08,Exempt,f,32624425,20240905174946,245267147.0,1.0,1.4,52.38317,4.90284,1.0,1.0,1.0,1.0,289.6,1.0,6.0,1.0,14.0,65.0,0.0,0,0,48.0,4.9,4.67,4.48,4.9,5.0,4.81,4.44,1.0,1.0,0.0,0.0
