,id,last_scraped,name,host_id,host_name,host_since,host_response_time,host_is_superhost,host_identity_verified,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,amenities,calendar_last_scraped,has_availability,first_review,last_review,license,instant_bookable,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
48,281134,2024-09-26,COOL PENT HOUSE APARTMENT @CONDESA,196253,Fernando,2010-08-09,within an hour,t,t,Mexico City,Cuauhtémoc,19.41124,-99.17748,Room in serviced apartment,Hotel room,"[""Iron"", ""Washer"", ""Wifi"", ""Host greets you"", ""Refrigerator"", ""Dishes and silverware"", ""Dishwasher"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Backyard"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dryer"", ""TV with standard cable"", ""Patio or balcony"", ""Kitchen"", ""Oven"", ""Smoke alarm"", ""Stove"", ""Free street parking"", ""Exterior security cameras on property"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",2024-09-26,t,2015-01-05,2019-10-05,Unknown,t,1.0,0.93,12.0,13.0,3.0,1.0,1.0,2.0,1511.648404142887,1.0,365.0,2.0,365.0,14,43,312,7.0,4.71,4.71,5.0,5.0,5.0,5.0,4.86,8.0,4.0,1.0,0.0
62,1565220,2024-09-26,Descansa en la Suite de la Abuelita San Angel CDMX,2518152,Martha Laura,2012-06-01,within an hour,t,t,"Mexico City, DF, Mexico",Álvaro Obregón,19.34735,-99.19016,Room in boutique hotel,Hotel room,"[""Shared patio or balcony"", ""Iron"", ""Outdoor furniture"", ""High chair"", ""Paid washer \u2013 In building"", ""HDTV with standard cable, Amazon Prime Video, Apple TV, Netflix"", ""Heating"", ""Fire pit"", ""Children\u2019s books and toys"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Outdoor kitchen"", ""Hangers"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Breakfast"", ""Crib"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Luggage dropoff allowed"", ""Kitchen"", ""BBQ grill"", ""Outdoor dining area"", ""Paid parking off premises"", ""Smoke alarm"", ""Fast wifi \u2013 85 Mbps"", ""Fire extinguisher"", ""Pack \u2019n play/Travel crib"", ""Indoor fireplace: gas"", ""Paid dryer \u2013 In building"", ""Free street parking"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",2024-09-26,t,2013-11-12,2024-01-02,Unknown,f,1.0,0.92,8.0,9.0,2.0,1.0,1.0,2.0,1511.648404142887,1.0,1125.0,1.0,1125.0,1,61,336,28.0,4.96,5.0,5.0,5.0,4.96,4.93,4.93,7.0,1.0,4.0,0.0
75,1736063,2024-09-26,"Cómodo Estudio del Botánico, San Angel CDMX",2518152,Martha Laura,2012-06-01,within an hour,t,t,"Mexico City, Federal District, Mexico",Álvaro Obregón,19.3486,-99.19296,Room in boutique hotel,Hotel room,"[""Shared patio or balcony"", ""Iron"", ""Outdoor furniture"", ""Wifi"", ""Paid washer \u2013 In building"", ""Heating"", ""Fire pit"", ""Children\u2019s books and toys"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Resort access"", ""Outdoor kitchen"", ""Hangers"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Breakfast"", ""Crib"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Luggage dropoff allowed"", ""Pocket wifi"", ""Kitchen"", ""Shared backyard \u2013 Fully fenced"", ""BBQ grill"", ""Outdoor dining area"", ""Paid parking off premises"", ""Smoke alarm"", ""Fire extinguisher"", ""Pack \u2019n play/Travel crib"", ""Indoor fireplace: gas"", ""Paid dryer \u2013 In building"", ""Free street parking"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",2024-09-26,t,2014-03-04,2024-07-28,Unknown,f,1.0,0.92,8.0,9.0,2.0,1.0,1.0,2.0,1511.648404142887,1.0,1125.0,1.0,1125.0,17,77,352,58.0,4.88,4.84,4.97,4.89,4.93,4.96,4.86,7.0,1.0,4.0,0.0
100,571166,2024-09-26,MODERN/HIP FURNISHED APARTMENT ( S1 Condesa Haus),196253,Fernando,2010-08-09,within an hour,t,t,Mexico City,Cuauhtémoc,19.41346,-99.1775,Room in serviced apartment,Hotel room,"[""Dryer"", ""Iron"", ""Washer"", ""Carbon monoxide alarm"", ""Wifi"", ""Free parking on premises"", ""TV with standard cable"", ""Exterior security cameras on property"", ""Hangers"", ""Fire extinguisher"", ""Host greets you"", ""Kitchen"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Cooking basics"", ""Smoke alarm"", ""Hair dryer""]",2024-09-26,t,2019-02-08,2019-02-08,Unknown,t,1.0,0.93,12.0,13.0,3.0,1.0,1.0,1.0,1872.0,1.0,365.0,2.0,365.0,0,0,253,1.0,4.0,5.0,5.0,5.0,4.9,5.0,4.0,8.0,4.0,1.0,0.0
135,737328,2024-09-26,Business Suite BEIGE near Reforma,3850198,Hermann,2012-10-12,within an hour,f,t,"Mexico City, Federal District, Mexico",Cuauhtémoc,19.43059,-99.17073,Room in serviced apartment,Hotel room,"[""Iron"", ""Washer"", ""Wifi"", ""Host greets you"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Breakfast"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dryer"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Kitchen"", ""Smoke alarm"", ""Fire extinguisher"", ""Cooking basics"", ""Hair dryer""]",2024-09-26,t,2013-01-05,2024-02-11,Unknown,t,1.0,0.89,19.0,21.0,2.0,1.0,1.0,1.0,1275.0,2.0,730.0,2.0,1125.0,23,72,347,25.0,4.84,4.88,4.84,5.0,5.0,4.84,4.8,11.0,7.0,0.0,0.0
158,865012,2024-09-26,Business Suite RED near Reforma Av.,3850198,Hermann,2012-10-12,within an hour,f,t,Mexico City,Cuauhtémoc,19.43078,-99.17011,Room in serviced apartment,Hotel room,"[""Iron"", ""Washer"", ""Wifi"", ""Host greets you"", ""Paid parking on premises"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dryer"", ""TV with standard cable"", ""Kitchen"", ""Smoke alarm"", ""Hair dryer"", ""Fire extinguisher"", ""Cooking basics"", ""Paid parking off premises""]",2024-09-26,t,2013-03-02,2022-01-01,Unknown,t,1.0,0.89,19.0,21.0,2.0,1.0,1.0,1.0,1275.0,2.0,730.0,2.0,1125.0,24,74,345,31.0,4.97,4.97,4.94,5.0,5.0,4.97,4.97,11.0,7.0,0.0,0.0
159,868843,2024-09-26,Business Suite PURPLE near Reforma,3850198,Hermann,2012-10-12,within an hour,f,t,Mexico City,Cuauhtémoc,19.43068,-99.17007,Room in serviced apartment,Hotel room,"[""Iron"", ""Washer"", ""Wifi"", ""Dishes and silverware"", ""Self check-in"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dryer"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Kitchen"", ""Smoke alarm"", ""Fire extinguisher"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",2024-09-26,t,2014-08-03,2024-02-18,Unknown,t,1.0,0.89,19.0,21.0,2.0,1.0,1.0,1.0,1159.0,2.0,730.0,2.0,1125.0,25,70,345,55.0,4.98,4.98,4.87,5.0,4.98,4.98,4.89,11.0,7.0,0.0,0.0
170,869063,2024-09-26,Business Suite BLACK near Reforma,3850198,Hermann,2012-10-12,within an hour,f,t,"Mexico City, Federal District, Mexico",Cuauhtémoc,19.43052,-99.17003,Room in serviced apartment,Hotel room,"[""Iron"", ""Washer"", ""Wifi"", ""Self check-in"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dryer"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Kitchen"", ""Smoke alarm"", ""Cooking basics"", ""Fire extinguisher"", ""Smoking allowed"", ""Hair dryer"", ""Building staff""]",2024-09-26,t,2016-01-05,2024-04-21,Unknown,t,1.0,0.89,19.0,21.0,2.0,1.0,1.0,1.0,1353.0,2.0,730.0,2.0,1125.0,11,62,337,38.0,4.92,5.0,4.97,5.0,5.0,4.97,4.95,11.0,7.0,0.0,0.0
214,2908932,2024-09-26,2 bedroom apt in Colonia Juarez,2281290,Suites,2012-05-03,within an hour,f,t,"Juárez, Ciudad de México, Mexico",Cuauhtémoc,19.42644,-99.161,Room in serviced apartment,Hotel room,"[""Iron"", ""TV"", ""Wifi"", ""Elevator"", ""Heating"", ""Kitchen"", ""Refrigerator"", ""Dishes and silverware"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Paid parking off premises"", ""Cooking basics"", ""Single level home"", ""Hangers"", ""Microwave""]",2024-09-26,t,2019-03-01,2020-08-30,Unknown,f,1.0,0.98,44.0,48.0,4.0,1.0,1.0,3.0,1159.0,2.0,1125.0,2.0,1125.0,0,0,266,4.0,4.5,5.0,5.0,4.5,5.0,5.0,4.75,43.0,38.0,4.0,0.0
403,6810808,2024-09-26,✯ MASTER SUITES PRIME LOCATION ✯,35406862,Thor,2015-06-09,within a few hours,f,t,"Mexico City, Distrito Federal, Mexico",Cuauhtémoc,19.42368,-99.17148,Room in bed and breakfast,Hotel room,"[""Iron"", ""Washer"", ""Wifi"", ""Self check-in"", ""Resort access"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""First aid kit"", ""Shared hot tub"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Kitchen"", ""EV charger"", ""Smoke alarm"", ""Shared pool"", ""Fire extinguisher"", ""Gym"", ""Hair dryer"", ""Building staff""]",2024-09-26,t,2015-10-17,2021-11-08,Unknown,t,1.0,0.31,58.0,69.0,3.1,1.4,1.5,1.8,10144.0,1.0,1125.0,1.0,1125.0,30,90,365,6.0,4.17,4.33,4.33,5.0,4.33,4.33,4.0,19.0,2.0,11.0,2.0
