,id,last_scraped,name,host_id,host_name,host_since,host_response_time,host_is_superhost,host_identity_verified,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,amenities,calendar_last_scraped,has_availability,first_review,last_review,license,instant_bookable,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
115,617137,2024-09-26,Apt near Mexico City's downtown,3059169,Andoni,2012-07-26,Unknown,f,f,Mexico City,Cuauhtémoc,19.44614,-99.15868,Shared room in rental unit,Shared room,"[""Washer"", ""Wifi"", ""TV with standard cable"", ""Breakfast"", ""Kitchen""]",2024-09-26,t,No reviews,No reviews,Unknown,f,0.9361689895470384,0.8949061696116056,1.0,1.0,2.0,1.0,2.0,2.0,1511.648404142887,1.0,1125.0,1.0,1125.0,0,0,0,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,1.0,0.0,0.0,1.0
258,3197924,2024-09-26,cuarto con terraza y uso general,16186468,Jordi,2014-05-30,a few days or more,f,t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,19.4076432,-99.1739316,Shared room in loft,Shared room,"[""Free parking on premises"", ""Washer"", ""TV"", ""Wifi"", ""Fire pit"", ""City skyline view"", ""Kitchen"", ""Outdoor dining area"", ""Dedicated workspace""]",2024-09-26,t,No reviews,No reviews,Unknown,t,1.0,0.9,3.0,8.0,1.0,2.0,2.0,2.0,640.0,2.0,365.0,2.0,365.0,30,90,364,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,3.0,1.0,1.0,1.0
366,5434219,2024-09-26,メキシコシティの革命記念塔付近のホステルです。,28190065,Tetsuo,2015-02-22,within a few hours,t,t,Mexico City,Cuauhtémoc,19.43883,-99.15283,Shared room in guesthouse,Shared room,"[""Iron"", ""Washer"", ""Wifi"", ""Refrigerator"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Long term stays allowed"", ""Shampoo"", ""Hot water"", ""TV"", ""Patio or balcony"", ""Kitchen"", ""BBQ grill"", ""Smoke alarm"", ""Free street parking"", ""Exterior security cameras on property"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",2024-09-26,t,2015-05-23,2024-09-17,Unknown,f,1.0,0.85,2.0,2.0,3.1,1.4,1.0,1.8,290.0,2.0,1125.0,2.0,1125.0,28,85,360,34.0,4.44,4.74,4.47,4.74,4.71,4.71,4.59,2.0,0.0,1.0,1.0
444,6972071,2024-09-25,SUPER SAVER GROUP DEAL - PERFECT FOR STUDENTS,35406862,Thor,2015-06-09,within a few hours,f,t,Mexico City,Cuauhtémoc,19.42884,-99.13573,Shared room in hostel,Shared room,"[""Carbon monoxide alarm"", ""Washer"", ""Wifi"", ""TV with standard cable"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Smoking allowed"", ""Smoke alarm""]",2024-09-25,t,No reviews,No reviews,Unknown,f,1.0,0.31,58.0,69.0,3.1,4.0,1.0,1.8,5314.0,1.0,1125.0,1.0,1125.0,30,90,365,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,19.0,2.0,11.0,2.0
456,6076798,2024-09-25,Nova House,31426842,Antonio,2015-04-17,within a few hours,t,t,"Mexico City, Distrito Federal, Mexico",Venustiano Carranza,19.44329,-99.10947,Shared room in home,Shared room,"[""Carbon monoxide alarm"", ""Washer"", ""Wifi"", ""Backyard"", ""TV with standard cable"", ""Patio or balcony"", ""Smoking allowed"", ""Kitchen"", ""First aid kit"", ""Refrigerator"", ""Dishes and silverware"", ""Essentials"", ""Free street parking"", ""Exterior security cameras on property"", ""Cooking basics"", ""Microwave""]",2024-09-25,t,2015-05-22,2024-02-26,Unknown,t,1.0,0.94,2.0,2.0,3.1,3.0,1.0,1.8,550.0,1.0,1125.0,1.0,1125.0,0,0,267,85.0,4.85,4.84,4.93,4.94,4.91,4.69,4.93,1.0,0.0,0.0,1.0
480,6312611,2024-09-25,Sala de estar en DF,32080835,Héctor,2015-04-27,Unknown,f,t,"Mexico City, Distrito Federal, Mexico",Cuauhtémoc,19.41918,-99.15167,Shared room in rental unit,Shared room,"[""Wifi"", ""TV with standard cable"", ""Kitchen"", ""Essentials"", ""Shampoo""]",2024-09-25,t,No reviews,No reviews,Unknown,f,0.9361689895470384,0.8949061696116056,1.0,1.0,1.0,1.0,1.0,1.0,200.0,1.0,1125.0,1.0,1125.0,28,88,363,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,1.0,0.0,0.0,1.0
537,7933584,2024-09-26,Capsule Hostel Mexico City,41832187,Rafael,2015-08-18,within an hour,f,t,"Mexico City, Distrito Federal, Mexico",Cuauhtémoc,19.42818,-99.16122,Shared room in hostel,Shared room,"[""Iron"", ""Carbon monoxide alarm"", ""Wifi"", ""Laundromat nearby"", ""Fire extinguisher"", ""Self check-in"", ""Essentials"", ""Shampoo"", ""Exterior security cameras on property"", ""Smoke alarm"", ""Building staff""]",2024-09-26,t,2016-11-02,2024-09-07,Unknown,f,1.0,0.97,1.0,2.0,3.1,1.4,1.0,1.8,300.0,1.0,1125.0,1.0,1125.0,25,85,360,169.0,4.58,4.66,4.54,4.8,4.72,4.89,4.65,1.0,0.0,0.0,1.0
931,11964525,2024-09-25,Cuarto con Tv y gran ubicación,63900765,Eli Duarte,2016-03-21,Unknown,f,t,"Mexico City, Distrito Federal, Mexico",Cuauhtémoc,19.40665,-99.15955,Shared room in rental unit,Shared room,"[""Iron"", ""Wifi"", ""TV with standard cable"", ""Kitchen"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Pets allowed"", ""Smoking allowed""]",2024-09-25,t,No reviews,No reviews,Unknown,f,0.9361689895470384,0.8949061696116056,1.0,1.0,2.0,1.0,1.0,2.0,3800.0,4.0,34.0,4.0,34.0,30,90,365,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,1.0,0.0,0.0,1.0
1063,13221271,2024-09-25,Boutique Hostel lifestyle. Cheap & Chic.,35406862,Thor,2015-06-09,within a few hours,f,t,"Ejido del Centro, Ciudad de México, Mexico",Cuauhtémoc,19.42889,-99.13582,Shared room in hostel,Shared room,"[""Dryer"", ""Washer"", ""Carbon monoxide alarm"", ""Wifi"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Smoking allowed"", ""Smoke alarm"", ""Hangers""]",2024-09-25,t,No reviews,No reviews,Unknown,f,1.0,0.31,58.0,69.0,3.1,1.0,1.0,1.8,3382.0,1.0,1125.0,1.0,1125.0,28,88,363,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,19.0,2.0,11.0,2.0
1095,13293812,2024-09-25,Cuarto para estudiantes FES ZARAGO,73842404,Alejandro,2016-05-24,a few days or more,f,t,Mexico City,Iztapalapa,19.37201,-99.0367,Shared room in home,Shared room,"[""Wifi"", ""Essentials""]",2024-09-25,t,2016-07-28,2019-08-03,Unknown,t,1.0,0.25,1.0,2.0,2.0,1.0,1.0,1.0,222.0,1.0,1125.0,1.0,1125.0,30,89,89,2.0,4.5,4.5,4.5,4.5,4.5,5.0,5.0,1.0,0.0,0.0,1.0
